severity_of_crime,race_of_victim,death_penalty
1,1,yes
1,1,yes
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,1,no
1,0,yes
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
1,0,no
2,1,yes
2,1,yes
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,1,no
2,0,yes
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
2,0,no
3,1,yes
3,1,yes
3,1,yes
3,1,yes
3,1,yes
3,1,yes
3,1,no
3,1,no
3,1,no
3,1,no
3,1,no
3,1,no
3,1,no
3,0,yes
3,0,yes
3,0,no
3,0,no
3,0,no
3,0,no
3,0,no
3,0,no
3,0,no
3,0,no
3,0,no
4,1,yes
4,1,yes
4,1,yes
4,1,yes
4,1,yes
4,1,yes
4,1,yes
4,1,yes
4,1,yes
4,1,no
4,1,no
4,1,no
4,0,yes
4,0,yes
4,0,no
4,0,no
4,0,no
4,0,no
5,1,yes
5,1,yes
5,1,yes
5,1,yes
5,1,yes
5,1,yes
5,1,yes
5,1,yes
5,1,yes
5,0,yes
5,0,yes
5,0,yes
5,0,yes
5,0,no
5,0,no
5,0,no
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,1,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
